locality_name_1,locality_name,region_name
Beed Bypass Padegaon,Beed Bypass Road,Aurangabad
Khokurala,Khokurla,Bhandara
Mangalwar Peth,Manganwlarpeth,Kolhapur
Amboli,Amboli,Mumbai
Bolinj,Bolinj naka,Mumbai
Digha,Dighe,Mumbai
Dombivali East,Dombivli East,Mumbai
Ghodbander,Ghodbunder Road,Mumbai
Gorai,Gorai 1,Mumbai
Juhu,Juhu Rd,Mumbai
Khandeshhwar,Khandeshwar,Mumbai
Majiwada,Majiwada thane,Mumbai
Mazagaon,Mazgaon,Mumbai
Mira Bhayandar,Mira Bhayander Road,Mumbai
Mulund West,Mulund West Mumbai,Mumbai
New D N Nagar,New D N Nagar DNNagar,Mumbai
Shastri Nagar Lane 2,Shastri Nagar Road Number 2,Mumbai
Shir Gaon,Shirgaon,Mumbai
Tilak Nagar,Tilak Nagar Mumbai,Mumbai
Vasai Road east,Vasai east,Mumbai
Vazira,Vazira Naka,Mumbai
Veera Desai Road,Veeradesai Road,Mumbai
Vile Parle E,Ville Parle East,Mumbai
Chinchbhavan,Chinchbhuwan,Nagpur
Ganeshpeth,Ganeshpeth Colony,Nagpur
Hingana,Hingna,Nagpur
Hudkeshwar Bk,Hudkeshwar Road,Nagpur
Kamaal Chok,Kamal Chowk Road,Nagpur
Manewada Ring Road,Manewada Road,Nagpur
Manish Nagar,Manish Nagar Main,Nagpur
Nandanvan,Nandanvan road,Nagpur
Narsala Main Road,Narsala Road,Nagpur
Rameshwari,Rameshwari square,Nagpur
Deolali Camp,Deolali Gaon,Nashik
Gangapur,Gangapur Rd,Nashik
Ambe Gaon,Ambegaon,Pune
Bakhori,Bakori,Pune
Balewadi,Balewadi Road,Pune
Bibwewadi,Bibwewadi Annex,Pune
Chinchwad,Chinchwad Gaon,Pune
Dhanakwadi,Dhankawadi,Pune
Hadapsar,Hadapsar Gaon,Pune
Kalyani Nagar,Kalyani Nagar Annexe,Pune
Pimpri Chinchwad,PimpriChinchwad Link Road,Pune
Rambagh Colony,Rambaug Colony,Pune
Varale,Varale Pune,Pune
Yashwant Nagar,Yashwantnagar,Pune
Khandal,Khandala,Satara
